City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Beloha,MG,-25.1667,45.05,66.78,74,0,10.16,clear sky
296,Klaksvik,FO,62.2266,-6.589,47.32,83,100,24.83,overcast clouds
297,Gossaigaon,IN,26.4481,89.989,76.86,89,29,3.13,scattered clouds
298,Santa Maria,BR,-29.6842,-53.8069,67.3,45,75,19.57,broken clouds
299,Naze,JP,28.3667,129.4833,74.32,80,11,7.87,few clouds
300,Bulalacao,PH,12.3254,121.3435,79.75,82,100,11.1,moderate rain
301,Sitka,US,57.0531,-135.33,58.3,94,100,7.54,light rain
302,Kiama,AU,-34.6833,150.8667,57.38,89,78,5.99,broken clouds
303,Molina,CL,-35.1167,-71.2833,56.93,82,100,3.44,haze
304,Saint-Augustin,CA,51.226,-58.6502,54.88,58,99,12.24,overcast clouds
305,Anshun,CN,26.25,105.9333,62.76,85,87,0.36,overcast clouds
306,Shieli,KZ,44.1667,66.75,53.85,27,78,16.04,broken clouds
307,Namwala,ZM,-15.7504,26.4384,76.33,29,0,10.02,clear sky
308,Yumen,CN,40.2833,97.2,58.42,33,0,6.42,clear sky
309,Puerto Quijarro,BO,-17.7833,-57.7667,70.27,77,100,6.06,overcast clouds
310,Matehuala,MX,23.65,-100.65,72.27,36,1,5.73,clear sky
311,Clovis,US,36.8252,-119.7029,90.84,40,17,1.99,few clouds
312,Ixtapa,MX,20.7,-105.2,89.22,70,83,3.0,broken clouds
313,Trairi,BR,-3.2778,-39.2689,79.74,72,31,13.98,scattered clouds
314,Xudat,AZ,41.631,48.681,67.69,76,36,8.39,scattered clouds
315,Viedma,AR,-40.8135,-62.9967,74.5,24,0,18.28,clear sky
316,Kenai,US,60.5544,-151.2583,50.02,91,40,13.8,scattered clouds
317,Hamilton,US,39.1834,-84.5333,68.59,57,20,11.5,few clouds
318,Belmonte,BR,-15.8631,-38.8828,76.87,73,6,8.41,clear sky
319,Mandalgovi,MN,45.7625,106.2708,41.68,73,100,9.57,overcast clouds
320,Port Lincoln,AU,-34.7333,135.8667,52.39,86,100,11.27,overcast clouds
321,Meulaboh,ID,4.1363,96.1285,74.19,97,100,4.72,heavy intensity rain
322,Pula,HR,44.8683,13.8481,63.16,82,40,5.75,scattered clouds
323,Road Town,VG,18.4167,-64.6167,82.44,83,40,6.91,scattered clouds
324,Casma,CL,-41.0082,-73.1244,60.08,48,100,4.21,overcast clouds
325,Touros,BR,-5.1989,-35.4608,78.31,69,63,16.08,broken clouds
326,Imuris,MX,30.7833,-110.8667,79.29,48,100,2.01,overcast clouds
